,,,,,,,,Federal Housing Finance Agency,,,
,,,,,,,,www.fhfa.gov,,,
,,,,,,,,,,,
"TABLE 25:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, PREVIOUSLY OCCUPIED HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,
,,(%),Charges,(%),,($000),,(%),,,
,,,(%),,,,,,,,
,,,,,,,,,,,
1993,10,5.36,1.08,5.51,28.4,114.9,153.8,75.6,,,
1993,11,5.22,1.20,5.39,30.0,130.0,174.9,77.3,,,
1993,12,5.18,1.10,5.34,29.6,130.9,171.3,77.3,,,
1994,01,5.36,0.93,5.49,28.0,118.0,157.8,75.2,,,
1994,02,5.23,1.05,5.38,28.8,129.4,170.5,77.5,,,
1994,03,5.45,0.98,5.59,28.7,131.7,171.2,77.8,,,
1994,04,5.74,1.06,5.90,29.4,129.0,167.2,78.5,,,
1994,05,5.95,1.01,6.10,29.2,132.5,168.0,79.6,,,
1994,06,6.19,1.05,6.34,29.3,131.2,167.3,80.4,,,
1994,07,6.32,1.00,6.47,29.6,130.0,164.6,81.0,,,
1994,08,6.41,0.99,6.56,29.3,127.8,162.0,80.4,,,
1994,09,6.49,0.99,6.64,29.4,125.5,158.3,81.3,,,
1994,10,6.52,0.98,6.66,29.6,126.9,160.4,81.0,,,
1994,11,6.55,0.93,6.69,29.3,119.4,149.2,81.8,,,
1994,12,6.81,1.32,7.00,29.6,129.1,162.2,81.6,,,
1995,01,6.89,0.87,7.02,29.5,122.1,152.9,81.7,,,
1995,02,7.11,0.90,7.25,29.3,119.4,150.1,81.4,,,
1995,03,7.08,0.84,7.21,29.4,124.7,160.2,79.7,,,
