"Fannie Mae and Freddie Mac Maximum Loan Limits for Loans Originated in 2009 or 
Originated Between 7/1/07 and 12/31/08 and Purchased in 2009

(These limits were determined under the American Recovery and Reinvestment Act of 2009.  Loans acquired in 2009, but originated prior to 7/1/2007 remain subject to previously-announced 2009 loan limits, which were determined under provisions of the Housing and Economic Recovery Act of 2008).",,,,,,,,
FIPS State Code,FIPS County Code,County Name,CBSA Number,State,One-Unit Limit,Two-Unit Limit,Three-Unit Limit,Four-Unit Limit
05,025,Cleveland County,38220,AR,"$417,000","$533,850","$645,300","$801,950"
05,027,Columbia County,31620,AR,"$417,000","$533,850","$645,300","$801,950"
05,029,Conway County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,031,Craighead County,27860,AR,"$417,000","$533,850","$645,300","$801,950"
05,033,Crawford County,22900,AR,"$417,000","$533,850","$645,300","$801,950"
05,035,Crittenden County,32820,AR,"$417,000","$533,850","$645,300","$801,950"
05,037,Cross County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,039,Dallas County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,041,Desha County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,043,Drew County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,045,Faulkner County,30780,AR,"$417,000","$533,850","$645,300","$801,950"
05,047,Franklin County,22900,AR,"$417,000","$533,850","$645,300","$801,950"
05,049,Fulton County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,051,Garland County,26300,AR,"$417,000","$533,850","$645,300","$801,950"
05,053,Grant County,30780,AR,"$417,000","$533,850","$645,300","$801,950"
05,055,Greene County,37500,AR,"$417,000","$533,850","$645,300","$801,950"
05,057,Hempstead County,26260,AR,"$417,000","$533,850","$645,300","$801,950"
05,059,Hot Spring County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,061,Howard County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,063,Independence County,12900,AR,"$417,000","$533,850","$645,300","$801,950"
05,065,Izard County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,067,Jackson County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,069,Jefferson County,38220,AR,"$417,000","$533,850","$645,300","$801,950"
05,071,Johnson County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,073,Lafayette County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,075,Lawrence County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
