01.Jan.1990W !W, MBAM@haverw , MBAMP@haverw , MBAMR@HAVERW ,MBA30C@HAVERW
.DESC,"MBA: Market Volume Index: All Mortgage Loan Applications (SA, Mar-16-90=100)"," MBA: Volume Index: Mortgage Loan Applications for Purchase (SA, Mar-16-90=100) "," MBA: Volume Index: Mortgage Loan Applications for Refinancing(SA, Mar-16-90=100) ",MBA: FRM 30-Year: Contract Interest Rate (%)
.FRQ,Weekly (Fri), Weekly (Fri) , Weekly (Fri) ,Weekly (Fri)
10.Jun.1994W,147.4,148.7,139.8,8.28
17.Jun.1994W,145.2,143.8,153.3,8.39
24.Jun.1994W,139.4,140.4,133.6,8.54
01.Jul.1994W,145.7,147.2,137.2,8.70
08.Jul.1994W,144.7,150.2,112.5,8.71
15.Jul.1994W,133.4,136.9,112.6,8.62
22.Jul.1994W,141.9,146.2,116.8,8.61
29.Jul.1994W,137.0,139.9,120.0,8.48
05.Aug.1994W,145.3,147.1,135.0,8.57
12.Aug.1994W,137.8,139.0,130.9,8.83
19.Aug.1994W,148.2,150.5,134.4,8.59
26.Aug.1994W,128.1,130.4,114.7,8.53
02.Sep.1994W,134.4,137.2,118.5,8.54
09.Sep.1994W,135.4,139.6,110.5,8.71
16.Sep.1994W,130.9,134.7,108.3,8.81
23.Sep.1994W,132.3,136.8,105.9,8.86
30.Sep.1994W,137.9,142.1,113.2,8.91
07.Oct.1994W,138.6,142.0,118.6,9.11
14.Oct.1994W,129.3,133.3,105.6,8.85
21.Oct.1994W,131.6,134.1,117.4,8.97
28.Oct.1994W,127.7,131.7,104.5,9.05
04.Nov.1994W,132.8,136.8,109.5,9.19
11.Nov.1994W,129.5,133.4,106.3,9.16
18.Nov.1994W,161.2,167.5,124.4,9.29
25.Nov.1994W,99.8,105.0,69.9,9.12
02.Dec.1994W,131.1,139.7,81.2,9.13
09.Dec.1994W,131.4,140.6,77.9,9.19
16.Dec.1994W,124.9,133.9,72.5,9.11
23.Dec.1994W,104.8,112.7,59.0,9.01
30.Dec.1994W,93.4,95.7,80.3,9.34
06.Jan.1995W,118.8,125.3,81.0,9.09
13.Jan.1995W,117.5,124.9,74.4,8.97
20.Jan.1995W,123.5,130.4,83.3,9.08
27.Jan.1995W,129.8,138.0,82.4,9.01
03.Feb.1995W,147.9,154.1,111.6,8.83
10.Feb.1995W,120.7,125.3,93.6,8.88
17.Feb.1995W,110.2,113.9,88.8,8.74
24.Feb.1995W,154.5,163.4,103.1,8.62
