"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Louisiana,LA,22,1977,10.57,121.16,63.87,42.03,
Louisiana,LA,22,1978,16.46,141.11,74.38,48.95,
Louisiana,LA,22,1979,22.25,172.50,90.93,59.84,
Louisiana,LA,22,1980,8.84,187.74,98.96,65.13,
Louisiana,LA,22,1981,10.73,207.90,109.59,72.12,
Louisiana,LA,22,1982,4.77,217.80,114.81,75.56,
Louisiana,LA,22,1983,-0.62,216.46,114.10,75.09,
Louisiana,LA,22,1984,0.30,217.10,114.44,75.32,
Louisiana,LA,22,1985,-3.23,210.08,110.74,72.88,
Louisiana,LA,22,1986,-1.36,207.24,109.24,71.90,
Louisiana,LA,22,1987,-4.03,198.88,104.83,69.00,
Louisiana,LA,22,1988,-6.60,185.75,97.91,64.44,
Louisiana,LA,22,1989,0.74,187.12,98.63,64.92,
Louisiana,LA,22,1990,1.38,189.71,100.00,65.82,
Louisiana,LA,22,1991,2.71,194.86,102.71,67.60,
Louisiana,LA,22,1992,3.83,202.32,106.65,70.19,
Louisiana,LA,22,1993,4.32,211.06,111.25,73.22,
Louisiana,LA,22,1994,5.79,223.28,117.70,77.46,
Louisiana,LA,22,1995,4.99,234.41,123.56,81.32,
Louisiana,LA,22,1996,4.47,244.89,129.08,84.96,
Louisiana,LA,22,1997,4.56,256.06,134.98,88.84,
Louisiana,LA,22,1998,4.12,266.62,140.54,92.50,
Louisiana,LA,22,1999,3.89,277.00,146.01,96.10,
Louisiana,LA,22,2000,4.06,288.25,151.94,100.00,
Louisiana,LA,22,2001,4.41,300.96,158.64,104.41,
Louisiana,LA,22,2002,3.19,310.55,163.70,107.74,
Louisiana,LA,22,2003,3.29,320.76,169.08,111.28,
Louisiana,LA,22,2004,5.09,337.11,177.70,116.95,
Louisiana,LA,22,2005,6.40,358.68,189.07,124.44,
Louisiana,LA,22,2006,10.84,397.58,209.57,137.93,
Louisiana,LA,22,2007,4.57,415.73,219.14,144.23,
Louisiana,LA,22,2008,0.14,416.30,219.44,144.42,
Louisiana,LA,22,2009,-1.41,410.44,216.35,142.39,
Louisiana,LA,22,2010,-1.62,403.77,212.84,140.08,
Louisiana,LA,22,2011,-1.29,398.56,210.09,138.27,
Louisiana,LA,22,2012,0.55,400.75,211.25,139.03,
Louisiana,LA,22,2013,1.26,405.81,213.91,140.79,
Louisiana,LA,22,2014,2.41,415.59,219.07,144.18,
Louisiana,LA,22,2015,3.24,429.04,226.16,148.85,
Louisiana,LA,22,2016,3.37,443.49,233.77,153.86,
Louisiana,LA,22,2017,2.59,454.99,239.83,157.85,
Louisiana,LA,22,2018,1.92,463.72,244.43,160.88,
Maine,ME,23,1975,.,100.00,32.16,27.34,
Maine,ME,23,1976,-1.26,98.74,31.75,26.99,
Maine,ME,23,1977,17.14,115.66,37.20,31.62,
Maine,ME,23,1978,6.70,123.42,39.69,33.74,
Maine,ME,23,1979,11.73,137.89,44.35,37.70,
Maine,ME,23,1980,4.42,143.98,46.31,39.36,
Maine,ME,23,1981,10.34,158.87,51.09,43.43,
Maine,ME,23,1982,1.72,161.61,51.97,44.18,
Maine,ME,23,1983,3.89,167.90,54.00,45.90,
Maine,ME,23,1984,14.42,192.11,61.78,52.52,
Maine,ME,23,1985,10.74,212.75,68.42,58.16,
Maine,ME,23,1986,11.45,237.10,76.25,64.82,
Maine,ME,23,1987,13.11,268.18,86.25,73.31,
Maine,ME,23,1988,13.12,303.38,97.57,82.94,
Maine,ME,23,1989,4.73,317.73,102.19,86.86,
Maine,ME,23,1990,-2.14,310.93,100.00,85.00,
Maine,ME,23,1991,-3.27,300.75,96.73,82.22,
Maine,ME,23,1992,-1.03,297.66,95.73,81.37,
Maine,ME,23,1993,-1.72,292.55,94.09,79.98,
Maine,ME,23,1994,-1.06,289.45,93.09,79.13,
Maine,ME,23,1995,0.75,291.63,93.79,79.72,
Maine,ME,23,1996,2.53,299.01,96.16,81.74,
Maine,ME,23,1997,2.17,305.48,98.25,83.51,
Maine,ME,23,1998,3.64,316.61,101.83,86.55,
Maine,ME,23,1999,5.52,334.10,107.45,91.33,
Maine,ME,23,2000,9.49,365.80,117.65,100.00,
Maine,ME,23,2001,8.47,396.79,127.61,108.47,
Maine,ME,23,2002,8.17,429.21,138.04,117.33,
Maine,ME,23,2003,6.33,456.40,146.78,124.76,
Maine,ME,23,2004,11.30,507.95,163.36,138.86,
Maine,ME,23,2005,11.01,563.90,181.36,154.15,
Maine,ME,23,2006,4.00,586.45,188.61,160.32,
Maine,ME,23,2007,0.95,592.01,190.40,161.84,
Maine,ME,23,2008,-1.29,584.35,187.93,159.74,
Maine,ME,23,2009,-5.65,551.35,177.32,150.72,
Maine,ME,23,2010,-4.06,528.98,170.13,144.61,
Maine,ME,23,2011,-2.07,518.01,166.60,141.61,
Maine,ME,23,2012,-2.42,505.48,162.57,138.18,
Maine,ME,23,2013,0.65,508.75,163.62,139.08,
Maine,ME,23,2014,1.66,517.18,166.33,141.38,
Maine,ME,23,2015,2.18,528.46,169.96,144.46,
Maine,ME,23,2016,3.63,547.65,176.13,149.71,
Maine,ME,23,2017,5.02,575.13,184.97,157.22,
Maine,ME,23,2018,4.89,603.25,194.01,164.91,
Maryland,MD,24,1975,.,100.00,32.39,27.30,
Maryland,MD,24,1976,8.74,108.74,35.22,29.69,
Maryland,MD,24,1977,6.43,115.74,37.48,31.60,
Maryland,MD,24,1978,13.29,131.12,42.47,35.80,
Maryland,MD,24,1979,13.11,148.32,48.04,40.49,
Maryland,MD,24,1980,9.74,162.76,52.71,44.43,
Maryland,MD,24,1981,7.91,175.63,56.88,47.95,
Maryland,MD,24,1982,0.93,177.27,57.41,48.39,
Maryland,MD,24,1983,2.32,181.38,58.75,49.52,
Maryland,MD,24,1984,6.13,192.50,62.35,52.55,
Maryland,MD,24,1985,5.11,202.34,65.53,55.24,
Maryland,MD,24,1986,6.41,215.31,69.73,58.78,
Maryland,MD,24,1987,9.31,235.35,76.22,64.25,
Maryland,MD,24,1988,14.70,269.94,87.43,73.69,
Maryland,MD,24,1989,10.13,297.30,96.29,81.16,
Maryland,MD,24,1990,3.86,308.76,100.00,84.29,
Maryland,MD,24,1991,1.49,313.36,101.49,85.55,
Maryland,MD,24,1992,1.15,316.97,102.66,86.53,
Maryland,MD,24,1993,-0.05,316.82,102.61,86.49,
Maryland,MD,24,1994,0.07,317.04,102.68,86.55,
Maryland,MD,24,1995,0.58,318.87,103.27,87.05,
Maryland,MD,24,1996,1.47,323.55,104.79,88.33,
Maryland,MD,24,1997,0.87,326.37,105.70,89.10,
Maryland,MD,24,1998,2.04,333.03,107.86,90.92,
Maryland,MD,24,1999,2.96,342.88,111.05,93.61,
Maryland,MD,24,2000,6.83,366.30,118.64,100.00,
Maryland,MD,24,2001,7.55,393.97,127.60,107.55,
Maryland,MD,24,2002,9.51,431.43,139.73,117.78,
Maryland,MD,24,2003,7.50,463.77,150.21,126.61,
Maryland,MD,24,2004,16.57,540.60,175.09,147.58,
Maryland,MD,24,2005,21.39,656.23,212.54,179.15,
Maryland,MD,24,2006,12.28,736.80,238.63,201.14,
Maryland,MD,24,2007,1.74,749.60,242.78,204.64,
Maryland,MD,24,2008,-6.05,704.23,228.09,192.25,
Maryland,MD,24,2009,-11.07,626.30,202.84,170.98,
Maryland,MD,24,2010,-5.41,592.44,191.88,161.74,
Maryland,MD,24,2011,-4.12,568.01,183.97,155.06,
Maryland,MD,24,2012,-2.01,556.57,180.26,151.94,
Maryland,MD,24,2013,1.66,565.80,183.25,154.46,
Maryland,MD,24,2014,3.38,584.91,189.44,159.68,
Maryland,MD,24,2015,1.96,596.38,193.15,162.81,
Maryland,MD,24,2016,2.67,612.29,198.31,167.15,
Maryland,MD,24,2017,3.38,632.98,205.01,172.80,
Maryland,MD,24,2018,3.41,654.59,212.01,178.70,
Massachusetts,MA,25,1975,.,100.00,24.66,18.12,
Massachusetts,MA,25,1976,6.18,106.18,26.19,19.24,
Massachusetts,MA,25,1977,2.98,109.35,26.97,19.81,
Massachusetts,MA,25,1978,11.51,121.93,30.07,22.09,
Massachusetts,MA,25,1979,13.82,138.78,34.23,25.14,
Massachusetts,MA,25,1980,12.62,156.29,38.54,28.32,
Massachusetts,MA,25,1981,17.59,183.78,45.32,33.30,
Massachusetts,MA,25,1982,5.72,194.29,47.92,35.20,
Massachusetts,MA,25,1983,6.14,206.22,50.86,37.36,
Massachusetts,MA,25,1984,21.84,251.27,61.97,45.52,
Massachusetts,MA,25,1985,19.90,301.26,74.30,54.58,
Massachusetts,MA,25,1986,17.47,353.88,87.28,64.12,
Massachusetts,MA,25,1987,11.95,396.17,97.70,71.78,
Massachusetts,MA,25,1988,6.32,421.22,103.88,76.32,
Massachusetts,MA,25,1989,0.47,423.22,104.38,76.68,
Massachusetts,MA,25,1990,-4.19,405.47,100.00,73.46,
Massachusetts,MA,25,1991,-5.90,381.55,94.10,69.13,
Massachusetts,MA,25,1992,-1.65,375.25,92.55,67.99,
Massachusetts,MA,25,1993,-0.96,371.63,91.65,67.33,
Massachusetts,MA,25,1994,0.56,373.71,92.17,67.71,
Massachusetts,MA,25,1995,2.27,382.18,94.26,69.24,
Massachusetts,MA,25,1996,3.25,394.60,97.32,71.49,
Massachusetts,MA,25,1997,4.41,412.02,101.62,74.65,
Massachusetts,MA,25,1998,5.85,436.12,107.56,79.01,
Massachusetts,MA,25,1999,8.61,473.68,116.82,85.82,
Massachusetts,MA,25,2000,16.52,551.94,136.12,100.00,
Massachusetts,MA,25,2001,10.89,612.02,150.94,110.89,
Massachusetts,MA,25,2002,10.44,675.93,166.70,122.46,
Massachusetts,MA,25,2003,7.41,726.02,179.06,131.54,
Massachusetts,MA,25,2004,10.18,799.96,197.29,144.94,
Massachusetts,MA,25,2005,9.73,877.81,216.49,159.04,
Massachusetts,MA,25,2006,0.99,886.46,218.62,160.61,
Massachusetts,MA,25,2007,-3.25,857.62,211.51,155.38,
Massachusetts,MA,25,2008,-4.81,816.38,201.34,147.91,
Massachusetts,MA,25,2009,-5.92,768.05,189.42,139.15,
Massachusetts,MA,25,2010,-2.46,749.15,184.76,135.73,
Massachusetts,MA,25,2011,-2.39,731.26,180.35,132.49,
Massachusetts,MA,25,2012,-1.40,721.05,177.83,130.64,
Massachusetts,MA,25,2013,1.92,734.87,181.24,133.14,
Massachusetts,MA,25,2014,5.37,774.31,190.97,140.29,
Massachusetts,MA,25,2015,3.25,799.45,197.16,144.84,
Massachusetts,MA,25,2016,4.84,838.18,206.72,151.86,
Massachusetts,MA,25,2017,5.97,888.17,219.05,160.92,
Massachusetts,MA,25,2018,5.64,938.29,231.41,170.00,
Michigan,MI,26,1975,.,100.00,42.31,25.39,
Michigan,MI,26,1976,3.24,103.24,43.68,26.22,
Michigan,MI,26,1977,9.36,112.91,47.77,28.67,
Michigan,MI,26,1978,15.88,130.85,55.36,33.23,
Michigan,MI,26,1979,18.73,155.36,65.73,39.45,
Michigan,MI,26,1980,6.47,165.41,69.98,42.01,
Michigan,MI,26,1981,4.02,172.07,72.80,43.70,
Michigan,MI,26,1982,-11.00,153.14,64.79,38.89,
Michigan,MI,26,1983,3.38,158.31,66.98,40.20,
Michigan,MI,26,1984,0.92,159.77,67.59,40.57,
Michigan,MI,26,1985,4.17,166.43,70.41,42.26,
Michigan,MI,26,1986,7.31,178.60,75.56,45.35,
Michigan,MI,26,1987,8.73,194.18,82.15,49.31,
Michigan,MI,26,1988,8.72,211.11,89.32,53.61,
Michigan,MI,26,1989,6.79,225.45,95.38,57.25,
Michigan,MI,26,1990,4.84,236.36,100.00,60.02,
Michigan,MI,26,1991,3.19,243.90,103.19,61.94,
Michigan,MI,26,1992,2.30,249.50,105.56,63.36,
Michigan,MI,26,1993,1.72,253.78,107.37,64.45,
Michigan,MI,26,1994,4.60,265.47,112.31,67.41,
Michigan,MI,26,1995,7.86,286.33,121.14,72.71,
Michigan,MI,26,1996,6.58,305.17,129.11,77.50,
Michigan,MI,26,1997,7.74,328.78,139.10,83.49,
Michigan,MI,26,1998,4.75,344.41,145.71,87.46,
Michigan,MI,26,1999,5.91,364.76,154.32,92.63,
Michigan,MI,26,2000,7.96,393.79,166.60,100.00,
Michigan,MI,26,2001,4.92,413.14,174.79,104.92,
Michigan,MI,26,2002,3.03,425.68,180.10,108.10,
Michigan,MI,26,2003,1.86,433.59,183.45,110.11,
Michigan,MI,26,2004,3.06,446.85,189.06,113.48,
Michigan,MI,26,2005,3.26,461.43,195.22,117.18,
Michigan,MI,26,2006,-1.28,455.52,192.72,115.68,
Michigan,MI,26,2007,-4.41,435.43,184.22,110.57,
Michigan,MI,26,2008,-6.90,405.38,171.51,102.95,
Michigan,MI,26,2009,-8.26,371.92,157.35,94.45,
Michigan,MI,26,2010,-7.88,342.63,144.96,87.01,
Michigan,MI,26,2011,-3.90,329.26,139.30,83.61,
Michigan,MI,26,2012,-0.77,326.72,138.23,82.97,
Michigan,MI,26,2013,5.62,345.07,145.99,87.63,
Michigan,MI,26,2014,7.88,372.27,157.50,94.54,
Michigan,MI,26,2015,4.50,389.04,164.59,98.79,
Michigan,MI,26,2016,5.30,409.64,173.31,104.03,
Michigan,MI,26,2017,6.98,438.22,185.40,111.28,
Michigan,MI,26,2018,6.53,466.82,197.50,118.55,
Minnesota,MN,27,1975,.,100.00,41.82,26.01,
Minnesota,MN,27,1976,9.10,109.10,45.63,28.37,
Minnesota,MN,27,1977,11.69,121.85,50.96,31.69,
Minnesota,MN,27,1978,17.39,143.04,59.83,37.20,
Minnesota,MN,27,1979,14.50,163.78,68.50,42.60,
Minnesota,MN,27,1980,10.26,180.58,75.53,46.97,
Minnesota,MN,27,1981,2.43,184.98,77.37,48.11,
Minnesota,MN,27,1982,2.04,188.76,78.95,49.09,
Minnesota,MN,27,1983,4.38,197.02,82.40,51.24,
Minnesota,MN,27,1984,1.92,200.81,83.99,52.23,
Minnesota,MN,27,1985,2.45,205.73,86.05,53.51,
Minnesota,MN,27,1986,2.79,211.46,88.44,55.00,
Minnesota,MN,27,1987,4.07,220.08,92.05,57.24,
Minnesota,MN,27,1988,3.86,228.57,95.60,59.45,
Minnesota,MN,27,1989,3.24,235.98,98.70,61.37,
Minnesota,MN,27,1990,1.32,239.10,100.00,62.18,
Minnesota,MN,27,1991,2.31,244.63,102.31,63.62,
Minnesota,MN,27,1992,1.95,249.40,104.31,64.86,
Minnesota,MN,27,1993,2.64,255.98,107.06,66.57,
Minnesota,MN,27,1994,3.41,264.71,110.71,68.84,
Minnesota,MN,27,1995,5.89,280.31,117.24,72.90,
Minnesota,MN,27,1996,4.15,291.93,122.10,75.92,
Minnesota,MN,27,1997,4.89,306.22,128.07,79.64,
Minnesota,MN,27,1998,4.50,320.00,133.84,83.23,
Minnesota,MN,27,1999,7.35,343.53,143.68,89.35,
Minnesota,MN,27,2000,11.93,384.50,160.81,100.00,
Minnesota,MN,27,2001,8.82,418.42,175.00,108.82,
Minnesota,MN,27,2002,7.56,450.07,188.24,117.05,
Minnesota,MN,27,2003,4.41,469.91,196.54,122.21,
Minnesota,MN,27,2004,8.36,509.18,212.96,132.43,
Minnesota,MN,27,2005,8.03,550.09,230.07,143.07,
Minnesota,MN,27,2006,2.73,565.12,236.36,146.98,
Minnesota,MN,27,2007,-0.85,560.34,234.36,145.73,
Minnesota,MN,27,2008,-4.44,535.44,223.94,139.26,
Minnesota,MN,27,2009,-6.32,501.59,209.79,130.45,
Minnesota,MN,27,2010,-6.22,470.39,196.74,122.34,
Minnesota,MN,27,2011,-5.40,444.98,186.11,115.73,
Minnesota,MN,27,2012,-1.70,437.42,182.95,113.76,
Minnesota,MN,27,2013,3.99,454.87,190.25,118.30,
Minnesota,MN,27,2014,5.58,480.24,200.86,124.90,
Minnesota,MN,27,2015,3.01,494.69,206.90,128.66,
Minnesota,MN,27,2016,4.68,517.82,216.57,134.67,
Minnesota,MN,27,2017,6.11,549.44,229.80,142.90,
Minnesota,MN,27,2018,5.58,580.09,242.62,150.87,
Mississippi,MS,28,1975,.,100.00,57.62,40.96,
Mississippi,MS,28,1976,3.98,103.98,59.91,42.59,
Mississippi,MS,28,1977,4.39,108.55,62.54,44.46,
Mississippi,MS,28,1978,14.34,124.12,71.51,50.83,
Mississippi,MS,28,1979,12.46,139.58,80.42,57.17,
Mississippi,MS,28,1980,1.14,141.17,81.34,57.82,
Mississippi,MS,28,1981,3.38,145.95,84.09,59.78,
Mississippi,MS,28,1982,2.85,150.10,86.48,61.48,
Mississippi,MS,28,1983,5.76,158.75,91.46,65.02,
Mississippi,MS,28,1984,1.94,161.82,93.23,66.28,
Mississippi,MS,28,1985,6.44,172.24,99.24,70.55,
Mississippi,MS,28,1986,0.42,172.97,99.66,70.84,
Mississippi,MS,28,1987,-0.34,172.38,99.32,70.60,
Mississippi,MS,28,1988,-0.93,170.78,98.40,69.95,
Mississippi,MS,28,1989,0.82,172.19,99.21,70.52,
Mississippi,MS,28,1990,0.80,173.56,100.00,71.09,
Mississippi,MS,28,1991,1.30,175.82,101.30,72.01,
Mississippi,MS,28,1992,2.59,180.38,103.93,73.88,
Mississippi,MS,28,1993,2.12,184.21,106.14,75.45,
Mississippi,MS,28,1994,5.04,193.50,111.49,79.25,
Mississippi,MS,28,1995,4.83,202.84,116.87,83.08,
Mississippi,MS,28,1996,3.30,209.53,120.72,85.82,
Mississippi,MS,28,1997,3.74,217.36,125.24,89.03,
Mississippi,MS,28,1998,4.00,226.05,130.24,92.58,
Mississippi,MS,28,1999,4.33,235.84,135.88,96.59,
Mississippi,MS,28,2000,3.53,244.15,140.68,100.00,
Mississippi,MS,28,2001,4.09,254.15,146.43,104.09,
Mississippi,MS,28,2002,1.88,258.93,149.19,106.05,
Mississippi,MS,28,2003,1.75,263.45,151.79,107.90,
Mississippi,MS,28,2004,3.46,272.56,157.04,111.64,
Mississippi,MS,28,2005,5.34,287.11,165.43,117.59,
Mississippi,MS,28,2006,8.64,311.91,179.71,127.75,
Mississippi,MS,28,2007,4.35,325.48,187.53,133.31,
Mississippi,MS,28,2008,-0.34,324.37,186.89,132.85,
Mississippi,MS,28,2009,-2.97,314.75,181.35,128.91,
Mississippi,MS,28,2010,-3.73,303.01,174.58,124.10,
Mississippi,MS,28,2011,-2.11,296.61,170.90,121.48,
Mississippi,MS,28,2012,-0.72,294.48,169.67,120.61,
Mississippi,MS,28,2013,-0.41,293.28,168.98,120.12,
Mississippi,MS,28,2014,1.38,297.32,171.31,121.78,
Mississippi,MS,28,2015,2.57,304.97,175.72,124.91,
Mississippi,MS,28,2016,2.49,312.56,180.09,128.02,
Mississippi,MS,28,2017,1.92,318.55,183.54,130.47,
Mississippi,MS,28,2018,3.29,329.03,189.58,134.76,
Missouri,MO,29,1975,.,100.00,46.29,33.02,
Missouri,MO,29,1976,6.22,106.22,49.17,35.07,
Missouri,MO,29,1977,9.41,116.22,53.80,38.37,
Missouri,MO,29,1978,15.15,133.83,61.96,44.18,
Missouri,MO,29,1979,11.02,148.57,68.78,49.05,
Missouri,MO,29,1980,6.11,157.65,72.98,52.05,
Missouri,MO,29,1981,-1.45,155.36,71.92,51.29,
Missouri,MO,29,1982,0.28,155.80,72.13,51.44,
Missouri,MO,29,1983,5.65,164.59,76.20,54.34,
Missouri,MO,29,1984,6.25,174.88,80.96,57.74,
Missouri,MO,29,1985,5.80,185.01,85.65,61.08,
Missouri,MO,29,1986,4.56,193.45,89.56,63.87,
Missouri,MO,29,1987,5.07,203.26,94.10,67.11,
Missouri,MO,29,1988,3.50,210.37,97.39,69.46,
Missouri,MO,29,1989,2.16,214.91,99.49,70.96,
Missouri,MO,29,1990,0.51,216.01,100.00,71.32,
Missouri,MO,29,1991,0.91,217.98,100.91,71.97,
Missouri,MO,29,1992,1.39,221.02,102.32,72.97,
Missouri,MO,29,1993,1.22,223.72,103.57,73.86,
Missouri,MO,29,1994,3.69,231.96,107.39,76.59,
Missouri,MO,29,1995,5.73,245.26,113.54,80.98,
Missouri,MO,29,1996,3.71,254.35,117.75,83.98,
Missouri,MO,29,1997,4.11,264.80,122.59,87.43,
Missouri,MO,29,1998,3.04,272.84,126.31,90.08,
Missouri,MO,29,1999,4.35,284.70,131.80,94.00,
Missouri,MO,29,2000,6.39,302.88,140.22,100.00,
Missouri,MO,29,2001,5.40,319.23,147.79,105.40,
Missouri,MO,29,2002,4.33,333.05,154.19,109.96,
Missouri,MO,29,2003,2.63,341.80,158.24,112.85,
Missouri,MO,29,2004,5.62,361.00,167.12,119.19,
Missouri,MO,29,2005,6.35,383.94,177.74,126.76,
Missouri,MO,29,2006,4.03,399.42,184.91,131.88,
Missouri,MO,29,2007,1.45,405.23,187.60,133.79,
Missouri,MO,29,2008,-1.71,398.29,184.39,131.50,
Missouri,MO,29,2009,-3.43,384.63,178.06,126.99,
Missouri,MO,29,2010,-3.67,370.51,171.53,122.33,
Missouri,MO,29,2011,-3.23,358.56,165.99,118.38,
Missouri,MO,29,2012,-1.34,353.77,163.78,116.80,
Missouri,MO,29,2013,0.33,354.92,164.31,117.18,
Missouri,MO,29,2014,2.39,363.40,168.24,119.98,
Missouri,MO,29,2015,3.16,374.89,173.55,123.77,
Missouri,MO,29,2016,4.13,390.36,180.72,128.88,
Missouri,MO,29,2017,4.48,407.84,188.81,134.66,
Missouri,MO,29,2018,5.18,428.97,198.59,141.63,
Montana,MT,30,1975,.,100.00,47.76,27.76,
Montana,MT,30,1976,10.85,110.85,52.94,30.77,
Montana,MT,30,1977,15.39,127.91,61.09,35.51,
Montana,MT,30,1978,20.83,154.55,73.81,42.90,
Montana,MT,30,1979,11.55,172.40,82.33,47.86,
Montana,MT,30,1980,4.75,180.58,86.24,50.13,
Montana,MT,30,1981,-0.65,179.42,85.68,49.81,
Montana,MT,30,1982,8.91,195.40,93.32,54.24,
Montana,MT,30,1983,-4.83,185.96,88.81,51.62,
Montana,MT,30,1984,12.02,208.31,99.48,57.82,
Montana,MT,30,1985,-0.17,207.94,99.31,57.72,
Montana,MT,30,1986,-2.92,201.87,96.41,56.04,
Montana,MT,30,1987,-4.16,193.46,92.39,53.70,
Montana,MT,30,1988,1.31,196.00,93.60,54.41,
Montana,MT,30,1989,2.73,201.36,96.16,55.90,
Montana,MT,30,1990,3.99,209.40,100.00,58.13,
Montana,MT,30,1991,6.34,222.67,106.34,61.81,
Montana,MT,30,1992,7.27,238.86,114.07,66.31,
Montana,MT,30,1993,9.18,260.79,124.54,72.39,
Montana,MT,30,1994,8.98,284.22,135.73,78.90,
Montana,MT,30,1995,7.84,306.49,146.37,85.08,
Montana,MT,30,1996,4.11,319.09,152.39,88.58,
Montana,MT,30,1997,3.12,329.05,157.14,91.34,
Montana,MT,30,1998,2.18,336.22,160.56,93.33,
Montana,MT,30,1999,2.48,344.56,164.55,95.65,
Montana,MT,30,2000,4.55,360.24,172.04,100.00,
Montana,MT,30,2001,4.49,376.43,179.77,104.49,
Montana,MT,30,2002,4.64,393.88,188.10,109.34,
Montana,MT,30,2003,4.48,411.53,196.53,114.24,
Montana,MT,30,2004,8.83,447.88,213.89,124.33,
Montana,MT,30,2005,12.48,503.76,240.58,139.84,
Montana,MT,30,2006,11.18,560.06,267.47,155.47,
Montana,MT,30,2007,6.28,595.21,284.25,165.23,
Montana,MT,30,2008,1.24,602.62,287.79,167.28,
Montana,MT,30,2009,-2.94,584.88,279.32,162.36,
Montana,MT,30,2010,-4.87,556.37,265.70,154.44,
Montana,MT,30,2011,-3.10,539.14,257.47,149.66,
Montana,MT,30,2012,0.63,542.55,259.10,150.61,
Montana,MT,30,2013,3.39,560.95,267.89,155.72,
Montana,MT,30,2014,4.53,586.36,280.02,162.77,
Montana,MT,30,2015,3.37,606.14,289.47,168.26,
Montana,MT,30,2016,3.86,629.55,300.65,174.76,
Montana,MT,30,2017,5.02,661.14,315.74,183.53,
Montana,MT,30,2018,5.20,695.52,332.16,193.07,
Nebraska,NE,31,1975,.,100.00,50.84,32.58,
Nebraska,NE,31,1976,7.17,107.17,54.49,34.91,
Nebraska,NE,31,1977,11.88,119.90,60.96,39.06,
Nebraska,NE,31,1978,11.13,133.25,67.75,43.41,
Nebraska,NE,31,1979,11.89,149.10,75.81,48.57,
Nebraska,NE,31,1980,7.73,160.62,81.66,52.32,
Nebraska,NE,31,1981,0.92,162.10,82.42,52.81,
Nebraska,NE,31,1982,5.95,171.75,87.33,55.95,
Nebraska,NE,31,1983,1.54,174.39,88.67,56.81,
Nebraska,NE,31,1984,1.97,177.82,90.41,57.93,
Nebraska,NE,31,1985,0.56,178.82,90.92,58.25,
Nebraska,NE,31,1986,1.47,181.44,92.25,59.11,
Nebraska,NE,31,1987,0.26,181.90,92.49,59.26,
Nebraska,NE,31,1988,1.19,184.07,93.59,59.96,
Nebraska,NE,31,1989,3.05,189.68,96.44,61.79,
Nebraska,NE,31,1990,3.69,196.68,100.00,64.07,
Nebraska,NE,31,1991,2.97,202.52,102.97,65.98,
Nebraska,NE,31,1992,3.51,209.62,106.58,68.29,
Nebraska,NE,31,1993,4.38,218.81,111.25,71.28,
Nebraska,NE,31,1994,6.03,232.01,117.96,75.58,
Nebraska,NE,31,1995,6.71,247.59,125.88,80.66,
Nebraska,NE,31,1996,4.74,259.31,131.85,84.48,
Nebraska,NE,31,1997,5.37,273.23,138.92,89.01,
Nebraska,NE,31,1998,3.66,283.23,144.01,92.27,
Nebraska,NE,31,1999,4.01,294.60,149.79,95.97,
Nebraska,NE,31,2000,4.20,306.97,156.07,100.00,
Nebraska,NE,31,2001,3.55,317.87,161.62,103.55,
Nebraska,NE,31,2002,2.52,325.88,165.69,106.16,
Nebraska,NE,31,2003,1.67,331.31,168.45,107.93,
Nebraska,NE,31,2004,4.37,345.81,175.82,112.65,
Nebraska,NE,31,2005,4.43,361.11,183.60,117.64,
Nebraska,NE,31,2006,1.94,368.11,187.16,119.92,
Nebraska,NE,31,2007,1.06,372.00,189.14,121.19,
Nebraska,NE,31,2008,-0.54,369.98,188.11,120.53,
Nebraska,NE,31,2009,-0.86,366.79,186.49,119.49,
Nebraska,NE,31,2010,-1.01,363.11,184.62,118.29,
Nebraska,NE,31,2011,-0.55,361.12,183.61,117.64,
Nebraska,NE,31,2012,0.48,362.86,184.49,118.21,
Nebraska,NE,31,2013,2.36,371.42,188.85,121.00,
