"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Arkansas,AR,05,2010,-3.01,349.02,172.93,126.54,
Arkansas,AR,05,2011,-1.78,342.81,169.85,124.29,
Arkansas,AR,05,2012,-0.19,342.15,169.52,124.05,
Arkansas,AR,05,2013,1.13,346.00,171.43,125.45,
Arkansas,AR,05,2014,1.15,349.98,173.40,126.89,
Arkansas,AR,05,2015,2.21,357.70,177.23,129.69,
Arkansas,AR,05,2016,2.49,366.59,181.63,132.91,
Arkansas,AR,05,2017,3.49,379.40,187.98,137.56,
Arkansas,AR,05,2018,3.48,392.61,194.53,142.35,
California,CA,06,1975,.,100.00,21.26,18.00,
California,CA,06,1976,14.37,114.37,24.32,20.59,
California,CA,06,1977,21.77,139.26,29.61,25.07,
California,CA,06,1978,17.62,163.80,34.83,29.49,
California,CA,06,1979,16.02,190.05,40.41,34.21,
California,CA,06,1980,16.10,220.64,46.91,39.72,
California,CA,06,1981,10.25,243.26,51.72,43.79,
California,CA,06,1982,2.14,248.47,52.83,44.73,
California,CA,06,1983,0.29,249.20,52.99,44.86,
California,CA,06,1984,3.00,256.67,54.57,46.20,
California,CA,06,1985,5.44,270.62,57.54,48.72,
California,CA,06,1986,5.91,286.63,60.94,51.60,
California,CA,06,1987,8.32,310.47,66.01,55.89,
California,CA,06,1988,16.45,361.55,76.87,65.09,
California,CA,06,1989,22.12,441.50,93.87,79.48,
California,CA,06,1990,6.53,470.32,100.00,84.67,
California,CA,06,1991,-0.49,468.02,99.51,84.25,
California,CA,06,1992,-1.71,460.02,97.81,82.81,
California,CA,06,1993,-5.17,436.21,92.75,78.53,
California,CA,06,1994,-3.06,422.88,89.91,76.13,
California,CA,06,1995,-2.61,411.84,87.57,74.14,
California,CA,06,1996,-0.09,411.48,87.49,74.07,
California,CA,06,1997,2.79,422.97,89.93,76.14,
California,CA,06,1998,7.94,456.56,97.07,82.19,
California,CA,06,1999,6.80,487.63,103.68,87.78,
California,CA,06,2000,13.92,555.50,118.11,100.00,
California,CA,06,2001,11.65,620.20,131.87,111.65,
California,CA,06,2002,10.36,684.44,145.53,123.21,
California,CA,06,2003,9.39,748.72,159.19,134.78,
California,CA,06,2004,19.29,893.13,189.90,160.78,
California,CA,06,2005,24.51,1112.00,236.43,200.18,
California,CA,06,2006,10.31,1226.64,260.81,220.82,
California,CA,06,2007,-3.94,1178.33,250.54,212.12,
California,CA,06,2008,-19.32,950.72,202.14,171.15,
California,CA,06,2009,-15.16,806.56,171.49,145.20,
California,CA,06,2010,-3.25,780.39,165.93,140.48,
California,CA,06,2011,-5.76,735.47,156.38,132.40,
California,CA,06,2012,-0.71,730.25,155.27,131.46,
California,CA,06,2013,10.90,809.88,172.20,145.79,
California,CA,06,2014,14.19,924.77,196.63,166.48,
California,CA,06,2015,5.45,975.18,207.34,175.55,
California,CA,06,2016,7.63,1049.57,223.16,188.94,
California,CA,06,2017,7.46,1127.92,239.82,203.05,
California,CA,06,2018,7.29,1210.18,257.31,217.85,
Colorado,CO,08,1975,.,100.00,43.09,21.61,
Colorado,CO,08,1976,8.79,108.79,46.87,23.51,
Colorado,CO,08,1977,14.12,124.14,53.49,26.83,
Colorado,CO,08,1978,17.90,146.37,63.06,31.63,
Colorado,CO,08,1979,16.93,171.15,73.74,36.98,
Colorado,CO,08,1980,8.93,186.43,80.32,40.28,
Colorado,CO,08,1981,8.86,202.95,87.44,43.85,
Colorado,CO,08,1982,10.41,224.07,96.54,48.42,
Colorado,CO,08,1983,1.96,228.47,98.44,49.37,
Colorado,CO,08,1984,0.38,229.33,98.81,49.56,
Colorado,CO,08,1985,0.39,230.23,99.20,49.75,
Colorado,CO,08,1986,1.26,233.13,100.44,50.38,
Colorado,CO,08,1987,-1.02,230.75,99.42,49.86,
Colorado,CO,08,1988,-2.41,225.18,97.02,48.66,
Colorado,CO,08,1989,0.92,227.25,97.91,49.10,
Colorado,CO,08,1990,2.13,232.10,100.00,50.15,
Colorado,CO,08,1991,3.32,239.79,103.32,51.82,
Colorado,CO,08,1992,5.64,253.32,109.14,54.74,
Colorado,CO,08,1993,8.48,274.80,118.40,59.38,
Colorado,CO,08,1994,9.87,301.91,130.08,65.24,
Colorado,CO,08,1995,9.12,329.45,141.95,71.19,
Colorado,CO,08,1996,4.83,345.36,148.80,74.63,
Colorado,CO,08,1997,5.50,364.34,156.98,78.73,
Colorado,CO,08,1998,4.67,381.37,164.31,82.41,
Colorado,CO,08,1999,7.37,409.48,176.43,88.48,
Colorado,CO,08,2000,13.02,462.78,199.39,100.00,
Colorado,CO,08,2001,8.07,500.12,215.48,108.07,
Colorado,CO,08,2002,4.12,520.70,224.35,112.52,
Colorado,CO,08,2003,0.77,524.71,226.07,113.38,
Colorado,CO,08,2004,2.89,539.87,232.61,116.66,
Colorado,CO,08,2005,4.80,565.79,243.77,122.26,
Colorado,CO,08,2006,3.28,584.36,251.77,126.27,
Colorado,CO,08,2007,0.69,588.38,253.50,127.14,
Colorado,CO,08,2008,-1.31,580.67,250.18,125.47,
Colorado,CO,08,2009,-1.80,570.24,245.69,123.22,
Colorado,CO,08,2010,-4.00,547.44,235.87,118.29,
Colorado,CO,08,2011,-3.08,530.55,228.59,114.64,
Colorado,CO,08,2012,0.48,533.11,229.69,115.20,
Colorado,CO,08,2013,5.66,563.28,242.69,121.72,
Colorado,CO,08,2014,9.26,615.41,265.15,132.98,
Colorado,CO,08,2015,9.23,672.20,289.62,145.25,
Colorado,CO,08,2016,10.27,741.23,319.36,160.17,
Colorado,CO,08,2017,8.84,806.75,347.59,174.33,
Colorado,CO,08,2018,8.34,874.07,376.60,188.87,
Connecticut,CT,09,1975,.,100.00,25.93,24.26,
Connecticut,CT,09,1976,6.09,106.09,27.51,25.74,
Connecticut,CT,09,1977,5.35,111.76,28.98,27.12,
Connecticut,CT,09,1978,17.51,131.32,34.05,31.86,
Connecticut,CT,09,1979,19.55,157.00,40.71,38.09,
Connecticut,CT,09,1980,6.79,167.67,43.47,40.68,
Connecticut,CT,09,1981,8.13,181.30,47.01,43.99,
Connecticut,CT,09,1982,3.62,187.86,48.71,45.58,
Connecticut,CT,09,1983,7.67,202.27,52.44,49.08,
Connecticut,CT,09,1984,12.71,227.98,59.11,55.32,
Connecticut,CT,09,1985,13.24,258.16,66.94,62.64,
Connecticut,CT,09,1986,17.88,304.32,78.91,73.84,
Connecticut,CT,09,1987,21.05,368.38,95.51,89.38,
Connecticut,CT,09,1988,11.37,410.25,106.37,99.54,
Connecticut,CT,09,1989,-1.08,405.83,105.22,98.47,
