,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically
Robert J. Shiller ,,,,,,,,,,Adjusted
,,,,,,,,,,Price
,,,,  Consumer,,,,,,Earnings
,S&P,,,Price,,Long,,,,Ratio
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
1880.02,5.20,0.21,0.40,9.99,1880.12,3.99,132.87,5.37,10.18,NA
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,134.15,5.44,10.31,NA
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,136.25,5.79,10.96,NA
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,129.27,6.10,11.54,NA
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,132.49,6.36,12.03,NA
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,138.57,6.50,12.29,NA
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,143.55,6.64,12.54,NA
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,141.81,6.71,12.66,NA
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,145.92,6.84,12.91,NA
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,152.03,6.91,13.03,NA
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,156.68,6.98,13.15,NA
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,167.75,7.18,13.17,18.47
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,165.54,7.24,12.92,18.15
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,167.42,7.38,12.81,18.27
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,165.23,7.44,12.57,17.95
1881.05,6.50,0.29,0.47,9.51,1881.37,3.67,174.39,7.65,12.59,18.87
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,176.54,7.78,12.48,19.03
1881.07,6.35,0.30,0.46,9.61,1881.54,3.66,168.68,7.84,12.24,18.12
1881.08,6.20,0.30,0.46,9.80,1881.62,3.65,161.50,7.81,11.90,17.29
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,156.71,7.65,11.35,16.72
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,152.78,7.70,11.14,16.26
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,155.21,7.90,11.14,16.48
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,150.70,8.02,11.03,15.96
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,148.44,8.02,11.01,15.68
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,143.84,7.95,10.89,15.15
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,143.59,7.95,10.87,15.09
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,142.27,7.88,10.75,14.92
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,139.27,7.80,10.63,14.57
