FHFBID,District,Member Name,City,State,Zip,Member Type,Charter Type,FDIC Certificate Number,Federal Reserve ID,OTS Docket Number ,Credit Union Charter Number ,Approval Date,,
01593,Atlanta,Industrial Federal Savings Bank,Lexington,NC,27292,Savings Bank,Federal,28440,,01593,,,,
01611,Chicago,First Federal Savings Bank of Champaign Urbana,Champaign,IL,61820,Savings Bank,Federal,28445,,01611,,,,
01618,San Francisco,Fullerton Community Bank,Fullerton,CA,92832,Savings and Loan,Federal,28449,,01618,,,,
01625,Seattle,Timberland Bank,Hoquiam,WA,98550,Savings Bank,State,28453,0294779,,,,,
01626,Seattle,Anchor Mutual Savings Bank,Aberdeen,WA,98520,Savings Bank,State,28454,0349370,,,,,
01638,Chicago,Family Federal Savings of Illinois,Cicero,IL,60804,Savings and Loan,Federal,28462,,01638,,,,
01639,Cincinnati,Liberty Federal Savings Bank,Ironton,OH,45638,Savings Bank,Federal,28463,,01639,,,,
01655,Atlanta,"Roxboro Savings Bank, SSB",Roxboro,NC,27573,Savings Bank,State,28471,0472979,,,,,
01669,Indianapolis,Farmers and Mechanics FS & LA,Bloomfield,IN,47424,Savings and Loan,Federal,28478,,01669,,,,
01672,Chicago,Columbia S & LA,Milwaukee,WI,53205,Savings and Loan,State,28480,,01672,,,,
01673,Boston,COLONIAL FSB,Quincy,MA,02170,Savings Bank,Federal,28481,,01673,,,,
01691,Seattle,Banner Bank,Walla Walla,WA,99362,Commercial Bank,State,28489,0352772,,,,,
01735,Topeka,"Argentine Federal Savings - Kansas City, KS",Kansas City,KS,66106,Savings and Loan,Federal,28507,,01735,,,,
01754,Dallas,"TrustTexas Bank, SSB",Cuero,TX,77954,Savings Bank,State,28515,0539872,,,,,
01781,Chicago,Marshfield Savings Bank,Marshfield,WI,54449,Savings Bank,State,28530,0313577,,,,,
01782,Chicago,Hartford Savings Bank,Hartford,WI,53027,Savings Bank,State,28531,0315674,,,,,
01784,Indianapolis,"FIRST BANK RICHMOND, NA",Richmond,IN,47374,Commercial Bank,National,28533,0419675,,,,,
01806,Topeka,Custer Fs&la,Broken Bow,NE,68822,Savings and Loan,Federal,28543,,01806,,,,
01830,Cincinnati,HOME CITY FEDERAL SAVINGS B,Springfield,OH,45503,Savings Bank,Federal,28554,,01830,,,,
01834,Cincinnati,THE VALLEY CENTRAL SAVINGS,Reading,OH,45215,Savings Bank,State,28555,0320070,,,,,
01856,Indianapolis,River Valley Financial Bank,Madison,IN,47250,Savings Bank,Federal,28565,,01856,,,,
01861,New York,ROSELLE SAVINGS BANK,Roselle,NJ,07203,Savings Bank,State,28567,0324274,,,,,
01899,New York,"MAPLE CITY SAVINGS BANK, FSB",Hornell,NY,14843,Savings Bank,Federal,28585,,01899,,,,
01904,Atlanta,Hamilton Federal Bank,Baltimore,MD,21214,Savings Bank,Federal,28589,,01904,,,,
01910,Indianapolis,"STURGIS BANK & TRUST COMPANY, FSB",Sturgis,MI,49091,Savings Bank,State,28593,0366078,,,,,
01925,Seattle,Olympia FS & LA,Olympia,WA,98501,Savings and Loan,Federal,28599,,01925,,,,
01949,Cincinnati,First Federal Savings Bank of Elizabethtown,Elizabethtown,KY,42701,Commercial Bank,State,28610,0368175,,,,,
01950,Chicago,Pulaski Savings Bank,Chicago,IL,60608,Savings Bank,State,28611,0490179,,,,,
01952,Chicago,Maritime Savings Bank,Milwaukee,WI,53207,Savings and Loan,Federal,28612,,18048,,,,
01954,Chicago,"The Equitable Bank, S.S.B.",Wauwatosa,WI,53226,Savings Bank,State,28614,0336576,,,,,
01993,New York,DELANCO FEDERAL SAVINGS BANK,Delanco,NJ,08075,Savings Bank,Federal,28631,,01993,,,,
01997,New York,Clifton Savings Bank,Clifton,NJ,07013,Savings Bank,Federal,28633,,01997,,,,
02004,Topeka,First Fs&la of Olathe,Olathe,KS,66061,Savings and Loan,Federal,28635,,02004,,,,
02007,Pittsburgh,Milton Savings Bank,Milton,PA,17847,Savings Bank,Federal,28637,,02007,,,,
02049,Topeka,Fairview S&la,Fairview,OK,73737,Savings and Loan,Federal,28652,,02049,,,,
02054,New York,"Llewellyn-Edison Savings Bank, FSB",West Orange,NJ,07052,Savings Bank,Federal,28655,,02054,,,,
02076,Cincinnati,Brookville Building and Savings Association (The),Brookville,OH,45309,Savings and Loan,State,28663,,02076,,,,
02078,Seattle,Heritage Bank,St. George,UT,84770,Savings Bank,Federal,28665,,02078,,,,
02091,Indianapolis,Homestead Savings Bank,Albion,MI,49224,Savings Bank,Federal,28667,,18109,,,,
02092,Cincinnati,The Franklin S & Lc,Cincinnati,OH,45241,Savings and Loan,State,28668,,02092,,,,
02096,Des Moines,Guaranty Bank,Springfield,MO,65807,Commercial Bank,State,28670,0131173,,,,,
02123,Cincinnati,CONNEAUT SAVINGS BANK,Conneaut,OH,44030,Savings Bank,State,28677,0203575,,,,,
02130,Chicago,"North Shore Bank, FSB",Brookfield,WI,53005,Savings Bank,Federal,28679,,02130,,,,
02148,Atlanta,Chesapeake Bank of Maryland,Baltimore,MD,21234,Savings Bank,Federal,28684,,02148,,,,
02165,Des Moines,Heartland Bank,St. Louis,MO,63105,Savings Bank,Federal,28694,,02165,,,,
02179,Pittsburgh,Ambler Savings Bank,Ambler,PA,19002,Savings Bank,State,28701,0206174,,,,,
02186,Cincinnati,Versailles Savings and Loan Company,Versailles,OH,45380,Savings and Loan,State,28703,,02186,,,,
02190,Pittsburgh,First FS & LA of Greene Co,Waynesburg,PA,15370,Savings and Loan,Federal,28706,,02190,,,,
02195,New York,GSL Savings Bank,Guttenberg,NJ,07093,Savings Bank,State,28708,0564678,,,,,
02197,New York,Northfield Bank,Staten Island,NY,10314,Savings and Loan,Federal,28710,,18063,,,,
02201,New York,First Federal Savings of Middletown,Middletown,NY,10940,Savings and Loan,Federal,28712,,02201,,,,
02228,Indianapolis,Kentland FS & LA,Kentland,IN,47951,Savings and Loan,Federal,28722,,02228,,,,
02229,Chicago,First Savings Bank,Danville,IL,61832,Savings Bank,State,28723,0627377,,,,,
