,,,,,,,,Federal Housing Finance Agency,,
,,,,,,,,www.fhfa.gov,,
,,,,,,,,,,
"TABLE 24:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, NEWLY BUILT  HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,
,,(%),Charges,(%),,($000),,(%),,
,,,(%),,,,,,,
,,,,,,,,,,
1996,07,7.26,0.96,7.41,29.0,177.0,240.9,75.7,,
1996,08,7.20,1.09,7.37,28.7,166.6,219.1,75.8,,
1996,09,7.12,1.02,7.27,29.8,170.6,220.0,78.4,,
1996,10,7.10,1.06,7.26,29.6,157.8,199.8,80.8,,
1996,11,6.96,0.99,7.11,29.6,174.0,222.3,79.8,,
1996,12,7.09,0.97,7.23,27.9,157.7,205.2,81.8,,
1997,01,6.96,0.93,7.10,29.4,165.7,211.8,79.1,,
1997,02,6.89,1.02,7.04,29.6,160.1,203.0,81.6,,
1997,03,7.07,1.01,7.22,29.7,166.6,210.7,80.3,,
1997,04,7.24,1.00,7.39,28.9,159.6,205.7,79.4,,
1997,05,7.16,0.96,7.31,29.5,169.8,217.2,80.2,,
1997,06,7.18,1.02,7.33,29.5,163.4,210.5,79.7,,
1997,07,7.03,0.96,7.17,29.9,172.7,215.8,82.1,,
1997,08,6.56,1.05,6.72,29.9,179.3,230.0,79.3,,
1997,09,6.69,1.01,6.84,29.8,174.9,222.6,80.6,,
1997,10,6.63,0.88,6.75,29.9,179.4,228.5,79.9,,
1997,11,6.61,1.01,6.76,29.5,172.3,220.5,81.0,,
1997,12,6.62,0.91,6.76,29.7,192.9,248.9,78.6,,
1998,01,6.53,0.99,6.68,29.8,173.3,224.1,79.7,,
1998,02,6.41,0.90,6.54,30.1,182.4,237.0,78.1,,
1998,03,6.48,0.89,6.61,29.9,193.4,253.4,78.6,,
1998,04,6.39,0.77,6.51,29.8,193.3,250.2,78.9,,
1998,05,6.43,0.75,6.54,29.8,193.6,249.7,78.9,,
1998,06,6.39,0.75,6.50,30.0,198.5,258.4,79.0,,
1998,07,6.39,0.69,6.49,30.0,201.3,261.7,78.1,,
1998,08,6.38,0.71,6.49,30.0,188.3,243.4,78.7,,
1998,09,6.33,0.69,6.43,29.6,188.8,244.6,78.2,,
1998,10,6.05,0.57,6.13,29.7,199.0,255.9,79.1,,
1998,11,6.20,0.59,6.29,29.6,192.6,249.5,78.0,,
1998,12,6.24,0.76,6.35,29.8,198.1,254.6,78.8,,
1999,01,6.17,0.76,6.28,29.9,189.5,249.5,76.9,,
1999,02,6.08,0.67,6.17,30.1,192.3,251.6,77.9,,
1999,03,6.17,0.68,6.27,29.8,194.2,252.7,77.9,,
1999,04,6.12,0.61,6.21,29.9,198.6,254.3,79.2,,
1999,05,6.19,0.60,6.28,29.8,195.8,250.9,79.3,,
1999,06,6.39,0.64,6.48,30.0,199.9,256.1,79.6,,
1999,07,6.60,0.72,6.71,29.2,193.9,250.5,78.7,,
1999,08,6.33,0.56,6.42,29.6,190.2,248.2,78.3,,
1999,09,6.21,0.46,6.28,30.0,187.6,242.4,79.2,,
1999,10,6.13,0.45,6.20,29.9,192.4,249.6,78.5,,
1999,11,6.26,0.41,6.32,29.9,194.9,254.0,78.2,,
1999,12,6.26,0.44,6.33,30.0,198.8,254.0,79.2,,
2000,01,6.51,0.48,6.58,30.1,196.2,254.0,78.7,,
2000,02,6.56,0.49,6.64,30.0,192.2,248.8,79.3,,
2000,03,6.70,0.49,6.77,30.0,199.9,260.8,78.4,,
2000,04,6.65,0.44,6.72,30.0,208.0,270.6,78.7,,
2000,05,6.49,0.47,6.56,29.9,206.9,269.0,78.6,,
2000,06,6.35,0.46,6.42,30.1,216.3,284.4,77.9,,
2000,07,6.30,0.43,6.37,30.0,219.2,286.4,78.3,,
2000,08,6.44,0.44,6.50,30.0,219.9,286.6,78.4,,
2000,09,6.38,0.42,6.44,30.0,224.3,292.3,78.1,,
2000,10,6.42,0.44,6.48,30.1,233.9,307.1,77.9,,
2000,11,6.39,0.43,6.45,30.0,239.1,314.3,77.5,,
2000,12,6.55,0.51,6.63,29.7,241.0,318.2,75.8,,
2001,01,6.47,0.40,6.53,30.0,241.4,318.5,77.2,,
2001,02,6.53,0.37,6.59,29.9,271.1,359.2,76.3,,
2001,03,6.47,0.40,6.53,29.9,256.0,338.6,77.0,,
