,,,,,,,,Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TABLE 12: TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, ANNUAL NATIONAL AVERAGES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Type,Year,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,,,,,,,,,,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,,,,,,,,,,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,,,,,,,,,,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,,,,,,,,,,,,,,,
,,,(%),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Property Types,2009,5.06,0.61,5.15,28.1,215.8,304.4,74.4,,,,,,,,,,,,,,,,,,,,
All Property Types,2010,4.84,0.73,4.94,27.6,212.6,300.0,74.0,,,,,,,,,,,,,,,,,,,,
All Property Types,2011,4.66,0.89,4.79,27.8,214.1,279.6,76.9,,,,,,,,,,,,,,,,,,,,
All Property Types,2012,3.74,1.06,3.87,27.3,242.5,330.4,76.4,,,,,,,,,,,,,,,,,,,,
All Property Types,2013,3.92,1.08,4.07,27.4,255.8,341.4,78.5,,,,,,,,,,,,,,,,,,,,
All Property Types,2014,4.24,1.25,4.41,28.1,263.6,345.7,79.0,,,,,,,,,,,,,,,,,,,,
All Property Types,2015,3.91,1.22,4.07,28.3,300.8,401.5,78.3,,,,,,,,,,,,,,,,,,,,
All Property Types,2016,3.72,1.21,3.86,28.6,315.8,413.9,79.7,,,,,,,,,,,,,,,,,,,,
All Property Types,2017,4.03,1.17,4.13,28.6,309.3,405.2,79.5,,,,,,,,,,,,,,,,,,,,
All Property Types,2018,4.57,1.05,4.67,28.7,315.9,415.8,78.8,,,,,,,,,,,,,,,,,,,,
New Homes,1985,11.86,2.55,12.35,25.4,74.3,103.2,75.4,,,,,,,,,,,,,,,,,,,,
New Homes,1986,10.03,2.62,10.49,26.4,85.0,118.0,74.7,,,,,,,,,,,,,,,,,,,,
New Homes,1987,9.48,2.41,9.89,26.8,93.2,129.9,74.0,,,,,,,,,,,,,,,,,,,,
New Homes,1988,9.98,2.43,10.40,26.1,97.2,140.7,71.9,,,,,,,,,,,,,,,,,,,,
